semel,year,school,city,city_norm,match_stage,cluster,index_value,population,locality_form,ses_locality_name,math_avg_grade,english_avg_grade,math_5unit_participation,english_5unit_participation,math_takers_total,english_takers_total
246983,2014,מגדל אור בנות שלהבת,מגדל העמק,מגדל העמק,exact,4.0,-0.252,24865.0,,מגדל העמק,78.0,79.31023809523809,0.0,0.0,40.0,42.0
246983,2015,מגדל אור בנות שלהבת,מגדל העמק,מגדל העמק,exact,4.0,-0.252,24865.0,,מגדל העמק,87.23,79.5360975609756,0.0,0.0,30.0,41.0
246983,2016,מגדל אור בנות שלהבת,מגדל העמק,מגדל העמק,exact,4.0,-0.252,24865.0,,מגדל העמק,82.82,75.46,0.0,0.0,17.0,21.0
247015,2013,טרה סנטה,עכו,עכו,exact,4.0,-0.39,47427.0,,עכו,82.45791666666668,91.12709677419355,0.22580645161290322,0.45161290322580644,31.0,31.0
247015,2014,טרה סנטה,עכו,עכו,exact,4.0,-0.39,47427.0,,עכו,94.67,94.18,0.0,0.7857142857142857,23.0,28.0
247015,2015,טרה סנטה,עכו,עכו,exact,4.0,-0.39,47427.0,,עכו,95.67,96.14,0.4444444444444444,0.7586206896551724,27.0,29.0
247015,2016,טרה סנטה,עכו,עכו,exact,4.0,-0.39,47427.0,,עכו,89.67,91.42999999999999,0.4,0.6363636363636364,20.0,22.0
247023,2013,סנט גוזף אקליריקי,נצרת,נצרת,exact,3.0,-0.592,75703.0,,נצרת,83.68141509433961,93.8596460176991,0.3113207547169811,0.5309734513274337,106.0,113.0
247023,2014,סנט גוזף אקליריקי,נצרת,נצרת,exact,3.0,-0.592,75703.0,,נצרת,83.42823529411766,92.36714285714285,0.35294117647058826,0.5714285714285714,119.0,126.0
247023,2015,סנט גוזף אקליריקי,נצרת,נצרת,exact,3.0,-0.592,75703.0,,נצרת,90.29138888888889,92.59987654320987,0.3194444444444444,0.5493827160493827,144.0,162.0
247023,2016,סנט גוזף אקליריקי,נצרת,נצרת,exact,3.0,-0.592,75703.0,,נצרת,85.79158333333334,94.24890625,0.3416666666666667,0.5546875,120.0,128.0
247031,2013,נזירות פרנציסקניות,נצרת,נצרת,exact,3.0,-0.592,75703.0,,נצרת,78.74196428571429,85.06460869565218,0.11607142857142858,0.24347826086956523,112.0,115.0
247031,2014,נזירות פרנציסקניות,נצרת,נצרת,exact,3.0,-0.592,75703.0,,נצרת,84.2944262295082,86.13188524590164,0.16393442622950818,0.2786885245901639,122.0,122.0
247031,2015,נזירות פרנציסקניות,נצרת,נצרת,exact,3.0,-0.592,75703.0,,נצרת,81.84535714285714,85.96267857142857,0.21428571428571427,0.25892857142857145,112.0,112.0
247031,2016,נזירות פרנציסקניות,נצרת,נצרת,exact,3.0,-0.592,75703.0,,נצרת,82.11837606837607,86.56672268907563,0.15384615384615385,0.25210084033613445,117.0,119.0
247049,2013,תיכון בפטיסטי,נצרת,נצרת,exact,3.0,-0.592,75703.0,,נצרת,70.28782608695651,93.2335294117647,0.391304347826087,0.5789473684210527,69.0,76.0
247049,2014,תיכון בפטיסטי,נצרת,נצרת,exact,3.0,-0.592,75703.0,,נצרת,82.82465753424657,93.32676056338028,0.3561643835616438,0.5897435897435898,73.0,78.0
247049,2015,תיכון בפטיסטי,נצרת,נצרת,exact,3.0,-0.592,75703.0,,נצרת,83.89163043478261,93.26659793814433,0.43478260869565216,0.5670103092783505,92.0,97.0
247049,2016,תיכון בפטיסטי,נצרת,נצרת,exact,3.0,-0.592,75703.0,,נצרת,77.40333333333335,90.86237288135594,0.48484848484848486,0.5625,66.0,64.0
247056,2013,נזירות סנט גוזף,נצרת,נצרת,exact,3.0,-0.592,75703.0,,נצרת,85.6562831858407,94.23179487179486,0.37168141592920356,0.5726495726495726,113.0,117.0
247056,2014,נזירות סנט גוזף,נצרת,נצרת,exact,3.0,-0.592,75703.0,,נצרת,85.82532110091744,94.35972972972974,0.30275229357798167,0.5135135135135135,109.0,111.0
247056,2015,נזירות סנט גוזף,נצרת,נצרת,exact,3.0,-0.592,75703.0,,נצרת,88.23720338983051,94.95413223140497,0.3983050847457627,0.5206611570247934,118.0,121.0
247056,2016,נזירות סנט גוזף,נצרת,נצרת,exact,3.0,-0.592,75703.0,,נצרת,81.71084112149532,92.2662385321101,0.29906542056074764,0.5412844036697247,107.0,109.0
247064,2013,טרה סנטה,נצרת,נצרת,exact,3.0,-0.592,75703.0,,נצרת,79.68629629629629,82.20542372881357,0.1,0.203125,60.0,64.0
247064,2014,טרה סנטה,נצרת,נצרת,exact,3.0,-0.592,75703.0,,נצרת,82.60966101694915,84.09743243243243,0.14492753623188406,0.3108108108108108,69.0,74.0
247064,2015,טרה סנטה,נצרת,נצרת,exact,3.0,-0.592,75703.0,,נצרת,80.19148936170212,82.54299999999999,0.0,0.25862068965517243,47.0,58.0
247064,2016,טרה סנטה,נצרת,נצרת,exact,3.0,-0.592,75703.0,,נצרת,75.48186666666668,82.33740259740259,0.14666666666666667,0.24675324675324675,75.0,77.0
247072,2013,גמנסיה הגליל הנוצרית,עיילבון,עיילבון,exact,5.0,-0.083,5471.0,,עיילבון,81.70615384615384,81.15212765957446,0.09302325581395349,0.19148936170212766,86.0,94.0
247072,2014,גמנסיה הגליל הנוצרית,עיילבון,עיילבון,exact,5.0,-0.083,5471.0,,עיילבון,83.614,82.87281690140844,0.11764705882352941,0.323943661971831,68.0,71.0
247072,2015,גמנסיה הגליל הנוצרית,עיילבון,עיילבון,exact,5.0,-0.083,5471.0,,עיילבון,83.41772151898734,82.6634375,0.13924050632911392,0.25,79.0,96.0
